Breed,Lifespan low,Lifespan high,Popularity,Hypoallergenic,Intelligence,Temperament,Temperament2,Temperament3,Temperament4,Price low,Price high,https://www.dogbreedslist.info/all-dog-breeds/page-2.html
Airedale Terrier,10,13,65,1,29,Intelligent,Outgoing,Courageous,Confident,800,2000,
Akita,10,14,55,0,54,Dignified,Friendly,Courageous,Docile,1000,2000,
Alaskan Malamute,12,15,67,0,50,Dignified,Playful,Friendly,Devoted,1200,2500,
American Cocker Spaniel,12,15,29,0,20,Outgoing,Sociable,Even Tempered,Trusting,1000,2000,
American Staffordshire Terrier,12,14,87,0,34,Friendly,Devoted,Courageous,Loyal,1500,2500,
Anatolian Shepherd Dog,10,13,79,0,-,Independent,Steady,Confident,Proud,800,2000,
Australian Cattle Dog,12,15,48,0,10,Intelligent,Loyal,Energetic,Protective,400,3000,
Australian Shepherd,12,15,12,0,42,Active,Intelligent,Good-natured,Protective,1000,2000,
Basenji,12,15,91,0,78,Curious,Affectionate,Intelligent,Alert,1500,2500,
Basset Hound,10,12,36,0,71,Gentle,Friendly,Devoted,Sweet-Tempered,800,1500,
Beagle,12,15,8,0,72,Gentle,Intelligent,Even Tempered,Determined,800,2000,
Belgian Mali0is,12,14,32,0,22,Stubborn,Confident,Protective,Watchful,1000,2000,
Bernese Mountain Dog,7,10,22,0,22,Affectionate,Intelligent,Loyal,Faithful,1500,2500,
Bichon Frise,12,15,47,1,45,Playful,Gentle,Sensitive,Cheerful,1000,1500,
Biewer Terrier,12,16,77,1,-,Active,Devoted,Intelligent,Playful,2500,3000,
Bloodhound,10,12,50,0,74,Stubborn,Affectionate,Gentle,Even Tempered,700,3000,
Border Collie,12,15,30,0,1,Intelligent,Energetic,Tenacious,Responsive,800,2500,
Border Terrier,12,15,95,1,30,Intelligent,Obedient,Even Tempered,Fearless,800,1800,
Boston Terrier,12,15,24,0,54,Intelligent,Friendly,Lively,Playful,1000,1500,
Bouvier des Flandres,10,12,98,1,29,Intelligent,Loyal,Protective,Familial,1500,1800,
Boxer,10,12,16,0,48,Playful,Friendly,Devoted,Loyal,1000,1800,
Boykin Spaniel,14,16,82,0,-,Friendly,Energetic,Companionable,Trainable,700,1500,
Brittany,12,15,29,0,19,Happy,Intelligent,Agile,Quick,700,2500,
Brussels Griffon,12,15,97,1,-,Companionable,Sensitive,Watchful,Inquisitive,1800,2500,
Bull Terrier,10,12,64,0,66,Sweet-Tempered,Keen,Protective,Trainable,1200,2000,
Bulldog,8,10,6,0,77,Friendly,Docile,Willful,Gregarious,2000,1500,
Bullmastiff,8,10,61,0,69,Courageous,Docile,Loyal,Powerful,1500,1500,
Cairn Terrier,12,15,70,1,35,Intelligent,Fearless,Hardy,Assertive,1200,2500,
Cane Corso,11,11,18,0,-,Quiet,Even Tempered,Calm,Reserved,1500,1800,
Cardigan Welsh Corgi,12,15,62,0,26,Intelligent,Alert,Devoted,Companionable,1200,1500,
Cavalier King Charles Spaniel,10,14,14,0,44,Playful,Sociable,Patient,Fearless,1500,4000,
Chesapeake Bay Retriever,10,13,52,0,27,Happy,Affectionate,Intelligent,Quiet,800,1300,
Chihuahua,14,18,34,0,67,Devoted,Quick,Courageous,Lively,800,3000,
Chinese Crested,12,14,80,1,61,Happy,Playful,Affectionate,Sweet-Tempered,1000,3000,
Chow Chow,13,15,92,0,76,Aloof,Independent,Loyal,Quiet,1200,2200,
Collie,14,16,39,0,16,Gentle,Loyal,Intelligent,Protective,1200,4000,
Coton De Tulear,14,16,84,1,60,Playful,Affectionate,Lively,Trainable,1500,2000,
Dachshund,12,15,9,0,49,Clever,Courageous,Devoted,Lively,800,3000,
Dalmatian,12,14,49,0,39,Intelligent,Outgoing,Friendly,Energetic,1000,2000,
Doberman Pinscher,10,12,15,0,5,Intelligent,Obedient,Loyal,Energetic,1200,2500,
Dogo Argenti0,10,12,88,0,-,Friendly,Loyal,Protective,Cheerful,1500,1500,
Dogue de Bordeaux,10,12,78,0,-,Devoted,Courageous,Companionable,Vigilant,1800,2500,
English Cocker Spaniel,12,14,40,0,18,Playful,Faithful,Friendly,Quiet,1000,2500,
English Setter,10,12,93,0,37,Intelligent,Energetic,Mischievous,Strong Willed,1000,1500,
English Springer Spaniel,10,14,26,0,13,Attentive,Intelligent,Active,Cheerful,800,2500,
French Bulldog,10,12,1,0,58,Playful,Sociable,Lively,Patient,2000,2500,
German Shepherd,10,13,4,0,3,Courageous,Intelligent,Loyal,Watchful,800,2000,
German Shorthaired Pointer,12,14,10,0,17,Intelligent,Trainable,Boisterous,Cooperative,800,2000,
German Wirehaired Pointer,12,14,59,0,44,Willful,Intelligent,Affectionate,Active,800,3000,
Giant Schnauzer,10,12,58,1,28,Kind,Strong Willed,Powerful,Intelligent,2000,2500,
Golden Retriever,10,12,3,0,4,Intelligent,Kind,Friendly,Confident,1000,2000,
Gordon Setter,10,12,99,0,34,Intelligent,Confident,Alert,Fearless,1000,4500,
Great Dane,7,10,19,0,48,Gentle,Friendly,Devoted,Reserved,1000,1200,
Great Pyrenees,10,12,69,0,64,Patient,Affectionate,Confident,Strong Willed,800,2500,
Greater Swiss Mountain Dog,10,12,83,0,-,Protective,Self-Confident,Devoted,Good-natured,1200,2500,
Havanese,14,16,25,1,45,Companionable,Responsive,Playful,Affectionate,1500,1200,
Irish Setter,12,14,71,0,35,Intelligent,Lively,Playful,Companionable,1200,2000,
Irish Wolfhound,6,10,89,0,41,Dignified,Generous,Loyal,Patient,1500,3000,
Italian Greyhound,12,15,63,1,60,Intelligent,Agile,Athletic,Companionable,1400,1500,
Jack Russell Terrier,13,16,73,0,46,Vocal,Stubborn,Athletic,Energetic,800,2500,
Keeshond,12,14,90,0,16,Intelligent,Quick,Agile,Sturdy,1500,2500,
Labrador Retriever,10,12,2,0,7,Cheerful,Gentle,Friendly,Intelligent,800,1800,
Lagotto Romag0lo,14,16,76,1,-,Loving,Loyal,Companionable,Trainable,3000,2000,
Lhasa Apso,12,15,86,0,68,Energetic,Playful,Intelligent,Friendly,1500,2000,
Maltese,15,18,38,1,59,Playful,Gentle,Lively,Docile,1500,2000,
Mastiff,10,12,37,0,72,Dignified,Affectionate,Good-natured,Courageous,1000,1500,
Miniature American Shepherd,13,15,31,-,-,Energetic,Intelligent,Loyal,,800,1500,
Miniature Pinscher,12,15,72,0,37,Playful,Outgoing,Energetic,Responsive,1000,1500,
Miniature Schnauzer,12,14,17,1,12,Intelligent,Friendly,Obedient,Fearless,1200,2000,
Newfoundland,9,12,42,0,34,Gentle,Trainable,Sweet-Tempered,,1700,5000,
0rwegian Elkhound,10,12,100,0,36,Strong Willed,Hardy,Intelligent,Playful,700,1200,
0va Scotia Duck Tolling Retriever,12,14,81,0,-,Outgoing,Loving,Alert,Patient,1500,2000,
Old English Sheepdog,10,12,74,0,63,Bubbly,Intelligent,Adaptable,Loving,1800,2000,
Papillon,13,16,51,0,8,Friendly,Energetic,Happy,Intelligent,1000,2000,
Pekingese,13,15,96,0,73,Stubborn,Opinionated,Aggressive,Good-natured,1500,2500,
Pembroke Welsh Corgi,,,11,0,11,Intelligent,Playful,Outgoing,Friendly,1000,2500,
Pomeranian,12,16,23,0,23,Playful,Intelligent,Sociable,Friendly,1500,2000,
Poodle,12,15,5,1,2,Intelligent,Faithful,Trainable,Instinctual,1200,1800,
Portuguese Water Dog,10,14,46,1,29,Brave,Quarrelsome,Docile,Impetuous,2000,2500,
Pug,12,15,35,0,57,Playful,Stubborn,Attentive,Sociable,800,3000,
